task_id,release_id,char_id,section_id,task_name,member_id,start_date,end_date,progress,lane,dependencies,status_id
TSK_00014,R_001,C_001,S_004,戦闘_待機,M_007,2026-10-07,2026-10-08,80,,TSK_00013,ST_002
TSK_00015,R_001,C_001,S_004,戦闘_攻撃1,M_008,2026-10-09,2026-10-11,0,,TSK_00014,ST_001
TSK_00016,R_001,C_001,S_004,戦闘_攻撃2,M_008,2026-10-12,2026-10-14,80,,TSK_00015,ST_002
TSK_00017,R_001,C_001,S_004,戦闘_必殺技,M_007,2026-10-15,2026-10-19,20,,TSK_00016,ST_003
TSK_00018,R_001,C_001,S_004,戦闘_ダウン,M_008,2026-10-20,2026-10-20,0,,TSK_00017,ST_001
TSK_00019,R_001,C_001,S_004,戦闘_被弾,M_008,2026-10-21,2026-10-21,0,,TSK_00018,ST_001
TSK_00020,R_001,C_001,S_004,ADV,M_008,2026-10-22,2026-10-23,0,,TSK_00019,ST_001
TSK_00035,R_001,C_002,S_004,戦闘_待機,M_007,2026-10-07,2026-10-08,80,,TSK_00034,ST_003
TSK_00036,R_001,C_002,S_004,戦闘_攻撃1,M_008,2026-10-09,2026-10-11,80,,TSK_00035,ST_002
TSK_00037,R_001,C_002,S_004,戦闘_攻撃2,M_007,2026-10-12,2026-10-14,80,,TSK_00036,ST_003
TSK_00038,R_001,C_002,S_004,戦闘_必殺技,M_008,2026-10-15,2026-10-19,50,,TSK_00037,ST_002
TSK_00039,R_001,C_002,S_004,戦闘_ダウン,M_008,2026-10-20,2026-10-20,20,,TSK_00038,ST_002
TSK_00040,R_001,C_002,S_004,戦闘_被弾,M_007,2026-10-21,2026-10-21,100,,TSK_00039,ST_005
TSK_00041,R_001,C_002,S_004,ADV,M_007,2026-10-22,2026-10-23,80,,TSK_00040,ST_002
TSK_00056,R_002,C_003,S_004,戦闘_待機,M_007,2026-11-06,2026-11-07,20,,TSK_00055,ST_003
TSK_00057,R_002,C_003,S_004,戦闘_攻撃1,M_007,2026-11-08,2026-11-10,80,,TSK_00056,ST_003
TSK_00058,R_002,C_003,S_004,戦闘_攻撃2,M_008,2026-11-11,2026-11-13,80,,TSK_00057,ST_003
TSK_00059,R_002,C_003,S_004,戦闘_必殺技,M_007,2026-11-14,2026-11-18,0,,TSK_00058,ST_001
TSK_00060,R_002,C_003,S_004,戦闘_ダウン,M_008,2026-11-19,2026-11-19,80,,TSK_00059,ST_003
TSK_00061,R_002,C_003,S_004,戦闘_被弾,M_008,2026-11-20,2026-11-20,50,,TSK_00060,ST_002
TSK_00062,R_002,C_003,S_004,ADV,M_008,2026-11-21,2026-11-22,80,,TSK_00061,ST_003
TSK_00077,R_002,C_004,S_004,戦闘_待機,M_007,2026-11-06,2026-11-07,100,,TSK_00076,ST_005
TSK_00078,R_002,C_004,S_004,戦闘_攻撃1,M_008,2026-11-08,2026-11-10,0,,TSK_00077,ST_001
TSK_00079,R_002,C_004,S_004,戦闘_攻撃2,M_007,2026-11-11,2026-11-13,20,,TSK_00078,ST_002
TSK_00080,R_002,C_004,S_004,戦闘_必殺技,M_007,2026-11-14,2026-11-18,50,,TSK_00079,ST_002
TSK_00081,R_002,C_004,S_004,戦闘_ダウン,M_007,2026-11-19,2026-11-19,0,,TSK_00080,ST_001
TSK_00082,R_002,C_004,S_004,戦闘_被弾,M_008,2026-11-20,2026-11-20,20,,TSK_00081,ST_003
TSK_00083,R_002,C_004,S_004,ADV,M_008,2026-11-21,2026-11-22,50,,TSK_00082,ST_002
TSK_00098,R_003,C_005,S_004,戦闘_待機,M_007,2026-12-06,2026-12-07,0,,TSK_00097,ST_001
TSK_00099,R_003,C_005,S_004,戦闘_攻撃1,M_008,2026-12-08,2026-12-10,0,,TSK_00098,ST_001
TSK_00100,R_003,C_005,S_004,戦闘_攻撃2,M_007,2026-12-11,2026-12-13,0,,TSK_00099,ST_001
TSK_00101,R_003,C_005,S_004,戦闘_必殺技,M_007,2026-12-14,2026-12-18,0,,TSK_00100,ST_001
TSK_00102,R_003,C_005,S_004,戦闘_ダウン,M_007,2026-12-19,2026-12-19,0,,TSK_00101,ST_001
TSK_00103,R_003,C_005,S_004,戦闘_被弾,M_008,2026-12-20,2026-12-20,0,,TSK_00102,ST_001
TSK_00104,R_003,C_005,S_004,ADV,M_007,2026-12-21,2026-12-22,0,,TSK_00103,ST_001
TSK_00119,R_003,C_006,S_004,戦闘_待機,M_008,2026-12-06,2026-12-07,0,,TSK_00118,ST_001
TSK_00120,R_003,C_006,S_004,戦闘_攻撃1,M_007,2026-12-08,2026-12-10,0,,TSK_00119,ST_001
TSK_00121,R_003,C_006,S_004,戦闘_攻撃2,M_007,2026-12-11,2026-12-13,0,,TSK_00120,ST_001
TSK_00122,R_003,C_006,S_004,戦闘_必殺技,M_008,2026-12-14,2026-12-18,0,,TSK_00121,ST_001
TSK_00123,R_003,C_006,S_004,戦闘_ダウン,M_007,2026-12-19,2026-12-19,0,,TSK_00122,ST_001
TSK_00124,R_003,C_006,S_004,戦闘_被弾,M_007,2026-12-20,2026-12-20,0,,TSK_00123,ST_001
TSK_00125,R_003,C_006,S_004,ADV,M_008,2026-12-21,2026-12-22,0,,TSK_00124,ST_001
TSK_00140,R_004,C_007,S_004,戦闘_待機,M_007,2027-01-05,2027-01-06,0,,TSK_00139,ST_001
TSK_00141,R_004,C_007,S_004,戦闘_攻撃1,M_008,2027-01-07,2027-01-09,0,,TSK_00140,ST_001
TSK_00142,R_004,C_007,S_004,戦闘_攻撃2,M_008,2027-01-10,2027-01-12,0,,TSK_00141,ST_001
TSK_00143,R_004,C_007,S_004,戦闘_必殺技,M_008,2027-01-13,2027-01-17,0,,TSK_00142,ST_001
TSK_00144,R_004,C_007,S_004,戦闘_ダウン,M_008,2027-01-18,2027-01-18,0,,TSK_00143,ST_001
TSK_00145,R_004,C_007,S_004,戦闘_被弾,M_007,2027-01-19,2027-01-19,0,,TSK_00144,ST_001
TSK_00146,R_004,C_007,S_004,ADV,M_008,2027-01-20,2027-01-21,0,,TSK_00145,ST_001
TSK_00161,R_004,C_008,S_004,戦闘_待機,M_008,2027-01-05,2027-01-06,0,,TSK_00160,ST_001
TSK_00162,R_004,C_008,S_004,戦闘_攻撃1,M_008,2027-01-07,2027-01-09,0,,TSK_00161,ST_001
TSK_00163,R_004,C_008,S_004,戦闘_攻撃2,M_007,2027-01-10,2027-01-12,0,,TSK_00162,ST_001
TSK_00164,R_004,C_008,S_004,戦闘_必殺技,M_008,2027-01-13,2027-01-17,0,,TSK_00163,ST_001
TSK_00165,R_004,C_008,S_004,戦闘_ダウン,M_007,2027-01-18,2027-01-18,0,,TSK_00164,ST_001
TSK_00166,R_004,C_008,S_004,戦闘_被弾,M_007,2027-01-19,2027-01-19,0,,TSK_00165,ST_001
TSK_00167,R_004,C_008,S_004,ADV,M_007,2027-01-20,2027-01-21,0,,TSK_00166,ST_001
TSK_00182,R_005,C_009,S_004,戦闘_待機,M_008,2027-02-04,2027-02-05,0,,TSK_00181,ST_001
TSK_00183,R_005,C_009,S_004,戦闘_攻撃1,M_007,2027-02-06,2027-02-08,0,,TSK_00182,ST_001
TSK_00184,R_005,C_009,S_004,戦闘_攻撃2,M_007,2027-02-09,2027-02-11,0,,TSK_00183,ST_001
TSK_00185,R_005,C_009,S_004,戦闘_必殺技,M_008,2027-02-12,2027-02-16,0,,TSK_00184,ST_001
TSK_00186,R_005,C_009,S_004,戦闘_ダウン,M_008,2027-02-17,2027-02-17,0,,TSK_00185,ST_001
TSK_00187,R_005,C_009,S_004,戦闘_被弾,M_007,2027-02-18,2027-02-18,0,,TSK_00186,ST_001
TSK_00188,R_005,C_009,S_004,ADV,M_007,2027-02-19,2027-02-20,0,,TSK_00187,ST_001
TSK_00203,R_005,C_010,S_004,戦闘_待機,M_007,2027-02-04,2027-02-05,0,,TSK_00202,ST_001
TSK_00204,R_005,C_010,S_004,戦闘_攻撃1,M_008,2027-02-06,2027-02-08,0,,TSK_00203,ST_001
TSK_00205,R_005,C_010,S_004,戦闘_攻撃2,M_007,2027-02-09,2027-02-11,0,,TSK_00204,ST_001
TSK_00206,R_005,C_010,S_004,戦闘_必殺技,M_008,2027-02-12,2027-02-16,0,,TSK_00205,ST_001
TSK_00207,R_005,C_010,S_004,戦闘_ダウン,M_008,2027-02-17,2027-02-17,0,,TSK_00206,ST_001
TSK_00208,R_005,C_010,S_004,戦闘_被弾,M_007,2027-02-18,2027-02-18,0,,TSK_00207,ST_001
TSK_00209,R_005,C_010,S_004,ADV,M_007,2027-02-19,2027-02-20,0,,TSK_00208,ST_001
TSK_00224,R_006,C_011,S_004,戦闘_待機,M_008,2027-03-06,2027-03-07,0,,TSK_00223,ST_001
TSK_00225,R_006,C_011,S_004,戦闘_攻撃1,M_008,2027-03-08,2027-03-10,0,,TSK_00224,ST_001
TSK_00226,R_006,C_011,S_004,戦闘_攻撃2,M_008,2027-03-11,2027-03-13,0,,TSK_00225,ST_001
TSK_00227,R_006,C_011,S_004,戦闘_必殺技,M_008,2027-03-14,2027-03-18,0,,TSK_00226,ST_001
TSK_00228,R_006,C_011,S_004,戦闘_ダウン,M_008,2027-03-19,2027-03-19,0,,TSK_00227,ST_001
TSK_00229,R_006,C_011,S_004,戦闘_被弾,M_008,2027-03-20,2027-03-20,0,,TSK_00228,ST_001
TSK_00230,R_006,C_011,S_004,ADV,M_008,2027-03-21,2027-03-22,0,,TSK_00229,ST_001
TSK_00245,R_006,C_012,S_004,戦闘_待機,M_008,2027-03-06,2027-03-07,0,,TSK_00244,ST_001
TSK_00246,R_006,C_012,S_004,戦闘_攻撃1,M_007,2027-03-08,2027-03-10,0,,TSK_00245,ST_001
TSK_00247,R_006,C_012,S_004,戦闘_攻撃2,M_007,2027-03-11,2027-03-13,0,,TSK_00246,ST_001
TSK_00248,R_006,C_012,S_004,戦闘_必殺技,M_007,2027-03-14,2027-03-18,0,,TSK_00247,ST_001
TSK_00249,R_006,C_012,S_004,戦闘_ダウン,M_007,2027-03-19,2027-03-19,0,,TSK_00248,ST_001
TSK_00250,R_006,C_012,S_004,戦闘_被弾,M_007,2027-03-20,2027-03-20,0,,TSK_00249,ST_001
TSK_00251,R_006,C_012,S_004,ADV,M_007,2027-03-21,2027-03-22,0,,TSK_00250,ST_001
TSK_00266,R_007,C_013,S_004,戦闘_待機,M_008,2027-04-05,2027-04-06,0,,TSK_00265,ST_001
TSK_00267,R_007,C_013,S_004,戦闘_攻撃1,M_008,2027-04-07,2027-04-09,0,,TSK_00266,ST_001
TSK_00268,R_007,C_013,S_004,戦闘_攻撃2,M_007,2027-04-10,2027-04-12,0,,TSK_00267,ST_001
TSK_00269,R_007,C_013,S_004,戦闘_必殺技,M_008,2027-04-13,2027-04-17,0,,TSK_00268,ST_001
