task_id,release_id,char_id,section_id,task_name,member_id,start_date,end_date,progress,lane,dependencies,status_id
TSK_00007,R_001,C_001,S_002,戦闘_待機,M_006,2026-09-16,2026-09-17,100,,TSK_00006,ST_005
TSK_00008,R_001,C_001,S_002,戦闘_攻撃1,M_006,2026-09-18,2026-09-20,0,,TSK_00007,ST_001
TSK_00009,R_001,C_001,S_002,戦闘_攻撃2,M_005,2026-09-21,2026-09-23,20,,TSK_00008,ST_003
TSK_00010,R_001,C_001,S_002,戦闘_必殺技,M_006,2026-09-24,2026-09-28,0,,TSK_00009,ST_001
TSK_00011,R_001,C_001,S_002,戦闘_ダウン,M_006,2026-09-29,2026-09-29,20,,TSK_00010,ST_002
TSK_00012,R_001,C_001,S_002,戦闘_被弾,M_006,2026-09-30,2026-09-30,20,,TSK_00011,ST_003
TSK_00013,R_001,C_001,S_002,ADV,M_005,2026-10-01,2026-10-04,0,,TSK_00012,ST_001
TSK_00028,R_001,C_002,S_002,戦闘_待機,M_005,2026-09-16,2026-09-17,50,,TSK_00027,ST_002
TSK_00029,R_001,C_002,S_002,戦闘_攻撃1,M_006,2026-09-18,2026-09-20,100,,TSK_00028,ST_005
TSK_00030,R_001,C_002,S_002,戦闘_攻撃2,M_005,2026-09-21,2026-09-23,0,,TSK_00029,ST_001
TSK_00031,R_001,C_002,S_002,戦闘_必殺技,M_006,2026-09-24,2026-09-28,80,,TSK_00030,ST_003
TSK_00032,R_001,C_002,S_002,戦闘_ダウン,M_006,2026-09-29,2026-09-29,100,,TSK_00031,ST_005
TSK_00033,R_001,C_002,S_002,戦闘_被弾,M_006,2026-09-30,2026-09-30,50,,TSK_00032,ST_002
TSK_00034,R_001,C_002,S_002,ADV,M_006,2026-10-01,2026-10-04,80,,TSK_00033,ST_003
TSK_00049,R_002,C_003,S_002,戦闘_待機,M_005,2026-10-16,2026-10-17,80,,TSK_00048,ST_003
TSK_00050,R_002,C_003,S_002,戦闘_攻撃1,M_005,2026-10-18,2026-10-20,0,,TSK_00049,ST_001
TSK_00051,R_002,C_003,S_002,戦闘_攻撃2,M_006,2026-10-21,2026-10-23,0,,TSK_00050,ST_001
TSK_00052,R_002,C_003,S_002,戦闘_必殺技,M_006,2026-10-24,2026-10-28,80,,TSK_00051,ST_002
TSK_00053,R_002,C_003,S_002,戦闘_ダウン,M_005,2026-10-29,2026-10-29,20,,TSK_00052,ST_002
TSK_00054,R_002,C_003,S_002,戦闘_被弾,M_006,2026-10-30,2026-10-30,100,,TSK_00053,ST_005
TSK_00055,R_002,C_003,S_002,ADV,M_005,2026-10-31,2026-11-03,50,,TSK_00054,ST_002
TSK_00070,R_002,C_004,S_002,戦闘_待機,M_006,2026-10-16,2026-10-17,50,,TSK_00069,ST_003
TSK_00071,R_002,C_004,S_002,戦闘_攻撃1,M_005,2026-10-18,2026-10-20,100,,TSK_00070,ST_005
TSK_00072,R_002,C_004,S_002,戦闘_攻撃2,M_006,2026-10-21,2026-10-23,50,,TSK_00071,ST_002
TSK_00073,R_002,C_004,S_002,戦闘_必殺技,M_005,2026-10-24,2026-10-28,20,,TSK_00072,ST_002
TSK_00074,R_002,C_004,S_002,戦闘_ダウン,M_006,2026-10-29,2026-10-29,50,,TSK_00073,ST_003
TSK_00075,R_002,C_004,S_002,戦闘_被弾,M_006,2026-10-30,2026-10-30,80,,TSK_00074,ST_002
TSK_00076,R_002,C_004,S_002,ADV,M_006,2026-10-31,2026-11-03,80,,TSK_00075,ST_003
TSK_00091,R_003,C_005,S_002,戦闘_待機,M_005,2026-11-15,2026-11-16,0,,TSK_00090,ST_001
TSK_00092,R_003,C_005,S_002,戦闘_攻撃1,M_006,2026-11-17,2026-11-19,0,,TSK_00091,ST_001
TSK_00093,R_003,C_005,S_002,戦闘_攻撃2,M_005,2026-11-20,2026-11-22,0,,TSK_00092,ST_001
TSK_00094,R_003,C_005,S_002,戦闘_必殺技,M_006,2026-11-23,2026-11-27,0,,TSK_00093,ST_001
TSK_00095,R_003,C_005,S_002,戦闘_ダウン,M_005,2026-11-28,2026-11-28,0,,TSK_00094,ST_001
TSK_00096,R_003,C_005,S_002,戦闘_被弾,M_005,2026-11-29,2026-11-29,0,,TSK_00095,ST_001
TSK_00097,R_003,C_005,S_002,ADV,M_006,2026-11-30,2026-12-03,0,,TSK_00096,ST_001
TSK_00112,R_003,C_006,S_002,戦闘_待機,M_006,2026-11-15,2026-11-16,0,,TSK_00111,ST_001
TSK_00113,R_003,C_006,S_002,戦闘_攻撃1,M_006,2026-11-17,2026-11-19,0,,TSK_00112,ST_001
TSK_00114,R_003,C_006,S_002,戦闘_攻撃2,M_006,2026-11-20,2026-11-22,0,,TSK_00113,ST_001
TSK_00115,R_003,C_006,S_002,戦闘_必殺技,M_006,2026-11-23,2026-11-27,0,,TSK_00114,ST_001
TSK_00116,R_003,C_006,S_002,戦闘_ダウン,M_006,2026-11-28,2026-11-28,0,,TSK_00115,ST_001
