task_id,release_id,char_id,section_id,task_name,member_id,start_date,end_date,progress,lane,dependencies,status_id
TSK_00001,R_001,C_001,S_001,キャラデザイン,M_001,2026-08-01,2026-08-10,20,,,ST_002
TSK_00002,R_001,C_001,S_001,背景デザイン,M_001,2026-08-11,2026-08-15,0,,TSK_00001,ST_001
TSK_00003,R_001,C_001,S_001,武器デザイン,M_002,2026-08-16,2026-08-19,80,,TSK_00002,ST_003
TSK_00022,R_001,C_002,S_001,キャラデザイン,M_002,2026-08-01,2026-08-10,80,,,ST_003
TSK_00023,R_001,C_002,S_001,背景デザイン,M_001,2026-08-11,2026-08-15,0,,TSK_00022,ST_001
TSK_00024,R_001,C_002,S_001,武器デザイン,M_001,2026-08-16,2026-08-19,50,,TSK_00023,ST_002
TSK_00043,R_002,C_003,S_001,キャラデザイン,M_001,2026-08-31,2026-09-09,0,,,ST_001
TSK_00044,R_002,C_003,S_001,背景デザイン,M_001,2026-09-10,2026-09-14,20,,TSK_00043,ST_002
TSK_00045,R_002,C_003,S_001,武器デザイン,M_001,2026-09-15,2026-09-18,80,,TSK_00044,ST_003
TSK_00064,R_002,C_004,S_001,キャラデザイン,M_001,2026-08-31,2026-09-09,20,,,ST_002
TSK_00065,R_002,C_004,S_001,背景デザイン,M_001,2026-09-10,2026-09-14,80,,TSK_00064,ST_002
TSK_00066,R_002,C_004,S_001,武器デザイン,M_002,2026-09-15,2026-09-18,100,,TSK_00065,ST_005
TSK_00085,R_003,C_005,S_001,キャラデザイン,M_002,2026-09-30,2026-10-09,0,,,ST_001
TSK_00086,R_003,C_005,S_001,背景デザイン,M_001,2026-10-10,2026-10-14,0,,TSK_00085,ST_001
TSK_00087,R_003,C_005,S_001,武器デザイン,M_002,2026-10-15,2026-10-18,0,,TSK_00086,ST_001
TSK_00106,R_003,C_006,S_001,キャラデザイン,M_001,2026-09-30,2026-10-09,0,,,ST_001
TSK_00107,R_003,C_006,S_001,背景デザイン,M_002,2026-10-10,2026-10-14,0,,TSK_00106,ST_001
TSK_00108,R_003,C_006,S_001,武器デザイン,M_002,2026-10-15,2026-10-18,0,,TSK_00107,ST_001
TSK_00127,R_004,C_007,S_001,キャラデザイン,M_001,2026-10-30,2026-11-08,0,,,ST_001
TSK_00128,R_004,C_007,S_001,背景デザイン,M_001,2026-11-09,2026-11-13,0,,TSK_00127,ST_001
TSK_00129,R_004,C_007,S_001,武器デザイン,M_002,2026-11-14,2026-11-17,0,,TSK_00128,ST_001
TSK_00148,R_004,C_008,S_001,キャラデザイン,M_001,2026-10-30,2026-11-08,0,,,ST_001
TSK_00149,R_004,C_008,S_001,背景デザイン,M_002,2026-11-09,2026-11-13,0,,TSK_00148,ST_001
TSK_00150,R_004,C_008,S_001,武器デザイン,M_002,2026-11-14,2026-11-17,0,,TSK_00149,ST_001
TSK_00169,R_005,C_009,S_001,キャラデザイン,M_001,2026-11-29,2026-12-08,0,,,ST_001
