task_id,release_id,char_id,section_id,task_name,member_id,start_date,end_date,progress,lane,dependencies,status_id
TSK_00004,R_001,C_001,S_003,キャラモデル作成,M_004,2026-08-22,2026-09-04,80,,TSK_00003,ST_002
TSK_00005,R_001,C_001,S_003,武器モデル作成,M_003,2026-09-05,2026-09-10,20,,TSK_00004,ST_002
TSK_00006,R_001,C_001,S_003,セットアップ,M_004,2026-09-11,2026-09-13,0,,TSK_00005,ST_001
TSK_00025,R_001,C_002,S_003,キャラモデル作成,M_004,2026-08-22,2026-09-04,50,,TSK_00024,ST_002
TSK_00026,R_001,C_002,S_003,武器モデル作成,M_003,2026-09-05,2026-09-10,50,,TSK_00025,ST_003
TSK_00027,R_001,C_002,S_003,セットアップ,M_004,2026-09-11,2026-09-13,100,,TSK_00026,ST_005
TSK_00046,R_002,C_003,S_003,キャラモデル作成,M_003,2026-09-21,2026-10-04,80,,TSK_00045,ST_003
TSK_00047,R_002,C_003,S_003,武器モデル作成,M_003,2026-10-05,2026-10-10,20,,TSK_00046,ST_002
TSK_00048,R_002,C_003,S_003,セットアップ,M_004,2026-10-11,2026-10-13,80,,TSK_00047,ST_002
TSK_00067,R_002,C_004,S_003,キャラモデル作成,M_004,2026-09-21,2026-10-04,0,,TSK_00066,ST_001
TSK_00068,R_002,C_004,S_003,武器モデル作成,M_003,2026-10-05,2026-10-10,0,,TSK_00067,ST_001
TSK_00069,R_002,C_004,S_003,セットアップ,M_003,2026-10-11,2026-10-13,20,,TSK_00068,ST_003
TSK_00088,R_003,C_005,S_003,キャラモデル作成,M_003,2026-10-21,2026-11-03,0,,TSK_00087,ST_001
TSK_00089,R_003,C_005,S_003,武器モデル作成,M_003,2026-11-04,2026-11-09,0,,TSK_00088,ST_001
TSK_00090,R_003,C_005,S_003,セットアップ,M_003,2026-11-10,2026-11-12,0,,TSK_00089,ST_001
TSK_00109,R_003,C_006,S_003,キャラモデル作成,M_003,2026-10-21,2026-11-03,0,,TSK_00108,ST_001
TSK_00110,R_003,C_006,S_003,武器モデル作成,M_004,2026-11-04,2026-11-09,0,,TSK_00109,ST_001
TSK_00111,R_003,C_006,S_003,セットアップ,M_004,2026-11-10,2026-11-12,0,,TSK_00110,ST_001
TSK_00130,R_004,C_007,S_003,キャラモデル作成,M_003,2026-11-20,2026-12-03,0,,TSK_00129,ST_001
TSK_00131,R_004,C_007,S_003,武器モデル作成,M_004,2026-12-04,2026-12-09,0,,TSK_00130,ST_001
TSK_00132,R_004,C_007,S_003,セットアップ,M_004,2026-12-10,2026-12-12,0,,TSK_00131,ST_001
TSK_00151,R_004,C_008,S_003,キャラモデル作成,M_004,2026-11-20,2026-12-03,0,,TSK_00150,ST_001
TSK_00152,R_004,C_008,S_003,武器モデル作成,M_004,2026-12-04,2026-12-09,0,,TSK_00151,ST_001
TSK_00153,R_004,C_008,S_003,セットアップ,M_003,2026-12-10,2026-12-12,0,,TSK_00152,ST_001
TSK_00172,R_005,C_009,S_003,キャラモデル作成,M_003,2026-12-20,2027-01-02,0,,TSK_00171,ST_001
TSK_00173,R_005,C_009,S_003,武器モデル作成,M_004,2027-01-03,2027-01-08,0,,TSK_00172,ST_001
TSK_00174,R_005,C_009,S_003,セットアップ,M_004,2027-01-09,2027-01-11,0,,TSK_00173,ST_001
TSK_00193,R_005,C_010,S_003,キャラモデル作成,M_003,2026-12-20,2027-01-02,0,,TSK_00192,ST_001
TSK_00194,R_005,C_010,S_003,武器モデル作成,M_004,2027-01-03,2027-01-08,0,,TSK_00193,ST_001
TSK_00195,R_005,C_010,S_003,セットアップ,M_004,2027-01-09,2027-01-11,0,,TSK_00194,ST_001
TSK_00214,R_006,C_011,S_003,キャラモデル作成,M_004,2027-01-19,2027-02-01,0,,TSK_00213,ST_001
TSK_00215,R_006,C_011,S_003,武器モデル作成,M_003,2027-02-02,2027-02-07,0,,TSK_00214,ST_001
TSK_00216,R_006,C_011,S_003,セットアップ,M_003,2027-02-08,2027-02-10,0,,TSK_00215,ST_001
TSK_00235,R_006,C_012,S_003,キャラモデル作成,M_003,2027-01-19,2027-02-01,0,,TSK_00234,ST_001
TSK_00236,R_006,C_012,S_003,武器モデル作成,M_004,2027-02-02,2027-02-07,0,,TSK_00235,ST_001
TSK_00237,R_006,C_012,S_003,セットアップ,M_004,2027-02-08,2027-02-10,0,,TSK_00236,ST_001
TSK_00256,R_007,C_013,S_003,キャラモデル作成,M_003,2027-02-18,2027-03-03,0,,TSK_00255,ST_001
TSK_00257,R_007,C_013,S_003,武器モデル作成,M_004,2027-03-04,2027-03-09,0,,TSK_00256,ST_001
TSK_00258,R_007,C_013,S_003,セットアップ,M_004,2027-03-10,2027-03-12,0,,TSK_00257,ST_001
